media-candidates/candidate-01-network-operations-center.jpg | File:Batelco Network Operations Centre (NOC).JPG | CC BY-SA 3.0 | Masdestructive | https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Batelco_Network_Operations_Centre_%28NOC%29.JPG/1920px-Batelco_Network_Operations_Centre_%28NOC%29.JPG
media-candidates/candidate-02-network-operations-center.jpg | File:Emergency Operations Center in Vietnam (36374809624).jpg | CC BY 2.0 | CDC Global | https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Emergency_Operations_Center_in_Vietnam_%2836374809624%29.jpg/1920px-Emergency_Operations_Center_in_Vietnam_%2836374809624%29.jpg
media-candidates/candidate-03-network-operations-center.jpg | File:NOC-Architel.jpg | CC BY 2.0 | Mike Reyher | https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/NOC-Architel.jpg/1920px-NOC-Architel.jpg
media-candidates/candidate-04-network-operations-center.jpg | File:NOC-IUPUI.jpg | CC BY 2.0 | Alan Levine from United States | https://upload.wikimedia.org/wikipedia/commons/e/e4/NOC-IUPUI.jpg
media-candidates/candidate-01-security-operations-center.jpg | File:National Security Operations Center photograph, 2001, with Gen. Michael Hayden - National Cryptologic Museum - DSC07662.JPG | CC0 | Daderot | https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/National_Security_Operations_Center_photograph%2C_2001%2C_with_Gen._Michael_Hayden_-_National_Cryptologic_Museum_-_DSC07662.JPG/1920px-National_Security_Operations_Center_photograph%2C_2001%2C_with_Gen._Michael_Hayden_-_National_Cryptologic_Museum_-_DSC07662.JPG
media-candidates/candidate-02-security-operations-center.jpg | File:National Security Operations Center photograph, c. 1975 - National Cryptologic Museum - DSC07658.JPG | CC0 | Daderot | https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/National_Security_Operations_Center_photograph%2C_c._1975_-_National_Cryptologic_Museum_-_DSC07658.JPG/1920px-National_Security_Operations_Center_photograph%2C_c._1975_-_National_Cryptologic_Museum_-_DSC07658.JPG
media-candidates/candidate-03-security-operations-center.jpg | File:National Security Operations Center photograph, c. 1985 - National Cryptologic Museum - DSC07661.JPG | CC0 | Daderot | https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/National_Security_Operations_Center_photograph%2C_c._1985_-_National_Cryptologic_Museum_-_DSC07661.JPG/1920px-National_Security_Operations_Center_photograph%2C_c._1985_-_National_Cryptologic_Museum_-_DSC07661.JPG
media-candidates/candidate-04-security-operations-center.jpg | File:Secretary of State Colin Powell and National Security Advisor Condoleezza Rice in the President's Emergency Operations Center (PEOC) - DPLA - 6d2de2fe61c5482948810afb392e760d.jpg | Public domain | President (2001-2009 : Bush). Office of Management and Administration. Office of White House Management. Photography Office. 1/20/2001-1/20/2009 | https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Secretary_of_State_Colin_Powell_and_National_Security_Advisor_Condoleezza_Rice_in_the_President%27s_Emergency_Operations_Center_%28PEOC%29_-_DPLA_-_6d2de2fe61c5482948810afb392e760d.jpg/1920px-thumbnail.jpg
media-candidates/candidate-01-control-room-video-wall.jpg | File:Altitude Wind Tunnel Control Room at the Aircraft Engine Research Laboratory (GRC-1944-C-05818).jpg | Public domain | NASA Glenn Research Center | https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Altitude_Wind_Tunnel_Control_Room_at_the_Aircraft_Engine_Research_Laboratory_%28GRC-1944-C-05818%29.jpg/1920px-Altitude_Wind_Tunnel_Control_Room_at_the_Aircraft_Engine_Research_Laboratory_%28GRC-1944-C-05818%29.jpg
media-candidates/candidate-02-control-room-video-wall.jpg | File:Central Control Room in the Engine Research Building (GRC-1968-C-03998).jpg | Public domain | NASA Glenn Research Center | https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Central_Control_Room_in_the_Engine_Research_Building_%28GRC-1968-C-03998%29.jpg/1920px-Central_Control_Room_in_the_Engine_Research_Building_%28GRC-1968-C-03998%29.jpg
media-candidates/candidate-03-control-room-video-wall.jpg | File:Engine Research Building’s Central Control Room (GRC-1948-C-21873).jpg | Public domain | NASA Glenn Research Center | https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Engine_Research_Building%E2%80%99s_Central_Control_Room_%28GRC-1948-C-21873%29.jpg/1920px-Engine_Research_Building%E2%80%99s_Central_Control_Room_%28GRC-1948-C-21873%29.jpg
media-candidates/candidate-04-control-room-video-wall.jpg | File:Fly on the wall (malin 1887).jpg | CC BY 4.0 | ESO/C. Malin | https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Fly_on_the_wall_%28malin_1887%29.jpg/1920px-Fly_on_the_wall_%28malin_1887%29.jpg
media-candidates/candidate-01-traffic-management-center-operators.jpg | File:San Jose Traffic Management Center grand opening April 8 2015 (16462757483).jpg | CC BY-SA 2.0 | Richard Masoner / Cyclelicious from Santa Cruz, California , USA | https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816462757483%29.jpg/1920px-San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816462757483%29.jpg
media-candidates/candidate-02-traffic-management-center-operators.jpg | File:San Jose Traffic Management Center grand opening April 8 2015 (16462758013).jpg | CC BY-SA 2.0 | Richard Masoner / Cyclelicious from Santa Cruz, California , USA | https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816462758013%29.jpg/1920px-San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816462758013%29.jpg
media-candidates/candidate-03-traffic-management-center-operators.jpg | File:San Jose Traffic Management Center grand opening April 8 2015 (16896691169).jpg | CC BY-SA 2.0 | Richard Masoner / Cyclelicious from Santa Cruz, California , USA | https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816896691169%29.jpg/1920px-San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2816896691169%29.jpg
media-candidates/candidate-04-traffic-management-center-operators.jpg | File:San Jose Traffic Management Center grand opening April 8 2015 (17056938496).jpg | CC BY-SA 2.0 | Richard Masoner / Cyclelicious from Santa Cruz, California , USA | https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2817056938496%29.jpg/1920px-San_Jose_Traffic_Management_Center_grand_opening_April_8_2015_%2817056938496%29.jpg
